ATR-BASED VOLUME IMBALANCE STRATEGY
Period: Nov 1 2025 - Jan 28 2026 (3 months)

FORMULA:
Reference Candle,Volume >= 3x average of last 5 candles
Day Range Filter,Day Range >= X * ATR (where X is multiplier)
Entry,Price > Ref High AND Volume > Ref Volume
Stop Loss,1% below entry
Take Profit,4% above entry
Trailing,At +2% SL->BE | At +3% SL->+1%

ATR MULTIPLIER COMPARISON
ATR Mult,Total Setups,Executed Trades,Wins,Locked,Breakeven,Losses,Win Rate,Profit Rate,Final Capital,Return
1,1837,235,33,21,24,152,14.0%,23.0%,$8.46,-91.5%
1.5,1828,235,33,21,24,152,14.0%,23.0%,$8.46,-91.5%
2,1814,234,33,21,24,151,14.1%,23.1%,$9.40,-90.6%
2.5,1803,233,33,21,24,150,14.2%,23.2%,$10.45,-89.6%
3,1783,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%
3.5,1766,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%
4,1752,235,32,22,25,151,13.6%,23.0%,$7.39,-92.6%

BEST MULTIPLIER: 2.5x ATR

TRADE DETAILS (Best Multiplier)
Trade,Symbol,Date,Day Range (ATR),Entry Price,Exit Price,Result,P&L %,Capital
139,DOGEUSDT,2025-12-17,10.88,0.13107094,0.1297602306,LOSS,-1.00,16.04
140,NEARUSDT,2025-12-17,14.95,1.535534,1.52017866,LOSS,-1.00,14.44
141,DOGEUSDT,2025-12-17,11.27,0.13149136,0.1328062736,WIN_LOCKED,1.00,15.88
142,NEARUSDT,2025-12-18,5.60,1.4714699999999998,1.4567552999999998,LOSS,-1.00,14.29
143,NEARUSDT,2025-12-18,7.83,1.4634619999999998,1.5220004799999998,WIN_FULL,4.00,20.01
144,NEARUSDT,2025-12-18,18.06,1.4374359999999997,1.4230616399999998,LOSS,-1.00,18.01
145,ETHUSDT,2025-12-18,17.22,2817.73492,2930.4443168,WIN_FULL,4.00,25.21
146,NEARUSDT,2025-12-19,5.85,1.4324309999999998,1.4897282399999998,WIN_FULL,4.00,35.30
147,DOGEUSDT,2025-12-19,25.91,0.12616604,0.13121268160000002,WIN_FULL,4.00,49.41
148,DOGEUSDT,2025-12-19,50.16,0.13269256,0.1313656344,LOSS,-1.00,44.47
149,DOGEUSDT,2025-12-20,8.40,0.13120106999999998,0.12988905929999997,LOSS,-1.00,40.03
150,DOGEUSDT,2025-12-21,19.51,0.12938926,0.13068315260000002,WIN_LOCKED,1.00,44.03
151,DOGEUSDT,2025-12-22,10.51,0.13194181,0.13194181,BREAKEVEN,0.00,44.03
152,NEARUSDT,2025-12-23,16.86,1.488487,1.47360213,LOSS,-1.00,39.63
153,ETHUSDT,2025-12-23,12.74,2952.20926,2922.6871674,LOSS,-1.00,35.66
154,ETHUSDT,2025-12-23,19.56,2947.8348899999996,2918.3565410999995,LOSS,-1.00,32.10
155,ETHUSDT,2025-12-24,12.40,2931.1281999999997,2901.8169179999995,LOSS,-1.00,28.89
156,NEARUSDT,2025-12-24,14.91,1.4614599999999998,1.4468453999999997,LOSS,-1.00,26.00
157,ETHUSDT,2025-12-24,26.00,2943.5405999999994,2914.1051939999993,LOSS,-1.00,23.40
158,NEARUSDT,2025-12-25,22.94,1.4854839999999998,1.4706291599999999,LOSS,-1.00,21.06
159,NEARUSDT,2025-12-26,4.94,1.4574559999999999,1.51575424,WIN_FULL,4.00,29.48
160,NEARUSDT,2025-12-26,30.55,1.5535519999999998,1.5380164799999998,LOSS,-1.00,26.53
161,ETHUSDT,2025-12-26,28.29,2985.1021199999996,2955.2510987999995,LOSS,-1.00,23.88
162,NEARUSDT,2025-12-26,48.26,1.5295279999999998,1.5142327199999999,LOSS,-1.00,21.49
163,ETHUSDT,2025-12-26,16.20,2922.9800599999994,2948.11,TIMEOUT,0.86,23.34
164,NEARUSDT,2025-12-28,4.55,1.5925909999999999,1.5766650899999999,LOSS,-1.00,21.01
165,NEARUSDT,2025-12-28,10.92,1.5835819999999998,1.5677461799999999,LOSS,-1.00,18.91
166,ETHUSDT,2025-12-28,14.73,2937.2242899999997,3054.7132616,WIN_FULL,4.00,26.47
167,ETHUSDT,2025-12-29,20.81,3047.7547099999997,3017.2771629,LOSS,-1.00,23.82
168,DOGEUSDT,2025-12-29,14.07,0.12715702999999998,0.12588545969999998,LOSS,-1.00,21.44
169,ETHUSDT,2025-12-29,23.52,2966.5635999999995,2936.8979639999993,LOSS,-1.00,19.29
170,ETHUSDT,2025-12-29,14.18,2941.10817,2969.11,TIMEOUT,0.95,21.13
171,DOGEUSDT,2025-12-31,4.28,0.12343330999999999,0.12219897689999999,LOSS,-1.00,19.02
172,NEARUSDT,2025-12-31,14.23,1.4874859999999999,1.5469854399999998,WIN_FULL,4.00,26.63
173,NEARUSDT,2026-01-01,15.33,1.5485469999999997,1.6104888799999997,WIN_FULL,4.00,37.28
174,DOGEUSDT,2026-01-01,35.82,0.12535522999999998,0.1303694392,WIN_FULL,4.00,52.19
175,DOGEUSDT,2026-01-02,17.55,0.13080067,0.1321086767,WIN_LOCKED,1.00,57.41
176,NEARUSDT,2026-01-02,11.25,1.6436419999999998,1.6272055799999998,LOSS,-1.00,51.67
177,DOGEUSDT,2026-01-02,22.09,0.13158145,0.13684470799999998,WIN_FULL,4.00,72.33
178,ETHUSDT,2026-01-02,9.64,3120.4473299999995,3089.2428566999993,LOSS,-1.00,65.10
179,ETHUSDT,2026-01-03,10.00,3107.9048,3150.16,TIMEOUT,1.36,73.95
