VOLUME IMBALANCE WITH SUPPORT-BASED STOP-LOSS
Period: Dec 1 2025 - Jan 28 2026

STRATEGY RULES
Reference Candle,Volume >= 3x of last 5 candles
Entry,Price > Ref High AND Volume > Ref Volume
Stop Loss,At consolidation low (support)
Max SL,1.5%
Take Profit,Risk x 4
Trailing,At 2:1 SL->BE | At 3:1 SL->+1:1

TRADE DETAILS
Trade,Symbol,Date,Entry Price,Support (SL),Risk %,TP,Result,P&L %,Capital
130,NEARUSDT,2026-01-11,1.7137119999999997,1.702296,0.67,1.7593759999999983,BREAKEVEN,0.00,253.54
131,NEARUSDT,2026-01-11,1.6866849999999998,1.669329,1.03,1.7561089999999986,WIN_FULL,4.12,357.90
132,NEARUSDT,2026-01-12,1.746745,1.734264,0.71,1.796669,LOSS,-0.71,332.33
133,DOGEUSDT,2026-01-12,0.13650637,0.13547439,0.76,0.14063428999999994,LOSS,-0.76,307.20
134,DOGEUSDT,2026-01-12,0.13681667999999997,0.13478508,1.48,0.14494307999999984,WIN_FULL,5.94,489.67
135,ETHUSDT,2026-01-13,3218.15494,3187.36944,0.96,3341.29694,WIN_FULL,3.83,677.04
136,ETHUSDT,2026-01-14,3338.00467,3317.679,0.61,3419.307349999999,LOSS,-0.61,635.81
137,NEARUSDT,2026-01-14,1.8468449999999998,1.8341640000000001,0.69,1.8975689999999985,LOSS,-0.69,592.16
138,DOGEUSDT,2026-01-14,0.14679664999999997,0.14633352,0.32,0.14864916999999989,LOSS,-0.32,573.47
139,ETHUSDT,2026-01-14,3311.2179099999994,3292.66404,0.56,3385.433389999997,WIN_FULL,2.24,702.01
140,ETHUSDT,2026-01-15,3316.8034899999993,3299.27742,0.53,3386.907769999997,WIN_LOCKED,0.53,739.10
141,DOGEUSDT,2026-01-15,0.14175161,0.13992993,1.29,0.14903832999999997,LOSS,-1.29,644.12
142,ETHUSDT,2026-01-15,3323.02971,3309.60708,0.40,3376.7202299999976,LOSS,-0.40,618.10
143,NEARUSDT,2026-01-16,1.7337319999999998,1.7232750000000001,0.60,1.7755599999999987,BREAKEVEN,0.00,618.10
144,NEARUSDT,2026-01-16,1.7327309999999998,1.719279,0.78,1.786538999999999,LOSS,-0.78,570.12
145,ETHUSDT,2026-01-16,3312.5192099999995,3299.1975,0.40,3365.8060499999965,LOSS,-0.40,547.19
146,ETHUSDT,2026-01-16,3313.5802699999995,3292.22448,0.64,3399.003429999998,LOSS,-0.64,511.92
147,NEARUSDT,2026-01-16,1.724723,1.7152830000000001,0.55,1.7624829999999994,LOSS,-0.55,483.90
148,DOGEUSDT,2026-01-16,0.13753739999999998,0.13626359999999998,0.93,0.14263259999999994,TIMEOUT,0.16,491.73
149,ETHUSDT,2026-01-18,3305.041739999999,3293.39331,0.35,3351.6354599999963,WIN_FULL,1.41,561.06
150,DOGEUSDT,2026-01-18,0.13764750999999997,0.13658328,0.77,0.14190442999999986,LOSS,-0.77,517.68
151,DOGEUSDT,2026-01-19,0.12755742999999997,0.12667319999999999,0.69,0.13109434999999992,LOSS,-0.69,481.79
152,ETHUSDT,2026-01-19,3205.3421399999997,3195.58122,0.30,3244.385819999999,WIN_LOCKED,0.30,496.47
153,DOGEUSDT,2026-01-19,0.12824812,0.12758229,0.52,0.13091144000000002,WIN_LOCKED,0.52,522.24
154,NEARUSDT,2026-01-19,1.5865849999999997,1.571427,0.96,1.6472169999999988,LOSS,-0.96,472.35
155,NEARUSDT,2026-01-20,1.5465449999999998,1.534464,0.78,1.5948689999999992,LOSS,-0.78,435.45
156,DOGEUSDT,2026-01-20,0.12564551999999998,0.12404583,1.27,0.13204427999999993,LOSS,-1.27,380.01
157,ETHUSDT,2026-01-20,2993.7107199999996,2977.12989,0.55,3060.0340399999973,LOSS,-0.55,358.96
158,DOGEUSDT,2026-01-21,0.12573561,0.12521466,0.41,0.12781940999999997,LOSS,-0.41,344.09
159,NEARUSDT,2026-01-21,1.5375359999999998,1.527471,0.65,1.5777959999999986,LOSS,-0.65,321.56
160,NEARUSDT,2026-01-21,1.5245229999999999,1.506492,1.18,1.5966469999999995,LOSS,-1.18,283.53
161,NEARUSDT,2026-01-21,1.5135119999999997,1.494504,1.26,1.5895439999999985,BREAKEVEN,0.00,283.53
162,NEARUSDT,2026-01-22,1.549548,1.542456,0.46,1.5779159999999994,LOSS,-0.46,270.56
163,DOGEUSDT,2026-01-22,0.12720707999999997,0.12632355,0.69,0.13074119999999984,LOSS,-0.69,251.76
164,DOGEUSDT,2026-01-22,0.12695683,0.12562425,1.05,0.13228715,LOSS,-1.05,225.34
165,DOGEUSDT,2026-01-22,0.12637625,0.12535452,0.81,0.13046317,LOSS,-0.81,207.12
166,DOGEUSDT,2026-01-22,0.1254253,0.1242756,0.92,0.13002409999999995,LOSS,-0.92,188.13
167,DOGEUSDT,2026-01-22,0.12418405999999999,0.12370616999999999,0.38,0.12609561999999996,WIN_LOCKED,0.38,195.37
168,ETHUSDT,2026-01-23,2932.93,2912.01507,0.71,3016.5897199999995,LOSS,-0.71,181.44
