VOLUME IMBALANCE - 3 MINUTE CHART
Period: Dec 1 2025 - Jan 28 2026

Timeframe,3m
Max SL,1.5%
R:R Ratio,1:4

TRADE DETAILS
Trade,Symbol,Date,Entry,Support (SL),Risk %,Result,P&L %,Capital
203,DOGEUSDT,2026-01-19,0.12824812,0.12770217,0.43,WIN_FULL,1.70,1582.87
204,ETHUSDT,2026-01-19,3222.92971,3205.2915,0.55,LOSS,-0.55,1496.24
205,DOGEUSDT,2026-01-19,0.12928916,0.12839148,0.69,LOSS,-0.69,1392.35
206,DOGEUSDT,2026-01-20,0.12895883,0.12794192999999998,0.79,LOSS,-0.79,1282.56
207,NEARUSDT,2026-01-20,1.5885869999999997,1.576422,0.77,LOSS,-0.77,1184.34
208,NEARUSDT,2026-01-20,1.587586,1.56843,1.21,LOSS,-1.21,1041.44
209,DOGEUSDT,2026-01-20,0.12625612999999997,0.1251747,0.86,LOSS,-0.86,952.24
210,NEARUSDT,2026-01-20,1.54154,1.536462,0.33,BREAKEVEN,0.00,952.24
211,DOGEUSDT,2026-01-20,0.12540527999999998,0.12448539,0.73,LOSS,-0.73,882.39
212,ETHUSDT,2026-01-20,2997.81482,2977.12989,0.69,LOSS,-0.69,821.50
213,ETHUSDT,2026-01-21,2958.24529,2940.21684,0.61,BREAKEVEN,0.00,821.50
214,NEARUSDT,2026-01-21,1.5245229999999999,1.506492,1.18,LOSS,-1.18,724.34
215,NEARUSDT,2026-01-21,1.5055039999999997,1.494504,0.73,WIN_FULL,2.92,936.04
216,NEARUSDT,2026-01-21,1.5585569999999997,1.5494489999999999,0.58,LOSS,-0.58,881.34
217,NEARUSDT,2026-01-21,1.5175159999999999,1.5014969999999999,1.06,WIN_LOCKED,1.06,974.37
218,DOGEUSDT,2026-01-22,0.12777765,0.12722265,0.43,LOSS,-0.43,932.05
219,DOGEUSDT,2026-01-22,0.12728715999999998,0.12632355,0.76,LOSS,-0.76,861.49
220,NEARUSDT,2026-01-22,1.5455439999999998,1.53846,0.46,LOSS,-0.46,822.00
221,NEARUSDT,2026-01-22,1.5345329999999997,1.526472,0.53,LOSS,-0.53,778.82
222,NEARUSDT,2026-01-22,1.5245229999999999,1.515483,0.59,LOSS,-0.59,732.64
223,DOGEUSDT,2026-01-22,0.12539526999999998,0.1242756,0.89,LOSS,-0.89,667.22
224,DOGEUSDT,2026-01-22,0.12507495,0.1240758,0.80,LOSS,-0.80,613.92
225,NEARUSDT,2026-01-22,1.5215199999999998,1.515483,0.40,LOSS,-0.40,589.56
226,DOGEUSDT,2026-01-22,0.12421408999999999,0.12368619,0.42,WIN_LOCKED,0.42,614.62
227,ETHUSDT,2026-01-23,2929.21629,2912.01507,0.59,LOSS,-0.59,578.53
228,ETHUSDT,2026-01-23,2926.3133899999993,2889.5076,1.26,TIMEOUT,0.95,633.44
229,NEARUSDT,2026-01-25,1.51151,1.506492,0.33,LOSS,-0.33,612.41
230,DOGEUSDT,2026-01-25,0.12403391,0.12371616,0.26,LOSS,-0.26,596.72
231,NEARUSDT,2026-01-25,1.5025009999999996,1.495503,0.47,LOSS,-0.47,568.93
232,ETHUSDT,2026-01-25,2936.19326,2918.079,0.62,LOSS,-0.62,533.83
233,NEARUSDT,2026-01-25,1.4254239999999998,1.415583,0.69,LOSS,-0.69,496.98
234,ETHUSDT,2026-01-25,2805.0422399999993,2784.213,0.74,WIN_FULL,2.97,644.59
235,ETHUSDT,2026-01-26,2850.1072599999998,2835.2619,0.52,BREAKEVEN,0.00,644.59
236,DOGEUSDT,2026-01-26,0.12216203999999999,0.12091895999999999,1.02,LOSS,-1.02,579.00
237,NEARUSDT,2026-01-26,1.454453,1.44855,0.41,LOSS,-0.41,555.50
238,DOGEUSDT,2026-01-26,0.12144131999999998,0.12109877999999999,0.28,WIN_LOCKED,0.28,571.17
239,DOGEUSDT,2026-01-26,0.12280267999999998,0.12111876,1.37,TIMEOUT,2.81,731.51
240,NEARUSDT,2026-01-28,1.489488,1.480518,0.60,LOSS,-0.60,687.45
241,DOGEUSDT,2026-01-28,0.12490477999999999,0.12434553,0.45,LOSS,-0.45,656.67
242,DOGEUSDT,2026-01-28,0.12456443999999998,0.12416571,0.32,WIN_FULL,1.28,740.75
243,DOGEUSDT,2026-01-28,0.12609596999999997,0.12522465,0.69,LOSS,-0.69,689.57
244,NEARUSDT,2026-01-28,1.4774759999999998,1.469529,0.54,LOSS,-0.54,652.48
245,DOGEUSDT,2026-01-28,0.12525512999999996,0.1244754,0.62,LOSS,-0.62,611.86
246,DOGEUSDT,2026-01-28,0.1253252,0.12359628,1.38,OPEN,-0.26,595.98

SUMMARY
Total Trades,246
Wins (Full),46
Wins (Locked),14
Breakeven,33
Losses,148
Final Capital,$595.98
Total Return,496.0%
